room,start time,end time,mean,std,min,median,max,sun,diff,preMean,preStd,preMin,preMedian,preMax,preSun,preDiff
2,2016/01/05 12:30:18,2016/01/05 12:30:36,612.93375,26.510138568,544.005,618.0525,664.785,3,120.78,535.85425,82.6452532923,369.45,536.9625,694.305,3,324.855
2,2016/01/05 12:30:36,2016/01/05 12:30:54,555.0565,10.0967138841,487.35,554.265,588.96,3,101.61,612.93375,26.510138568,544.005,618.0525,664.785,3,120.78
2,2016/01/05 12:30:54,2016/01/05 12:31:12,564.35475,7.15093819831,552.375,561.3075,583.605,3,31.23,555.0565,10.0967138841,487.35,554.265,588.96,3,101.61
2,2016/01/05 12:31:12,2016/01/05 12:31:30,520.49225,57.2276552312,329.49,521.7075,612.0,3,282.51,564.35475,7.15093819831,552.375,561.3075,583.605,3,31.23
2,2016/01/05 12:31:31,2016/01/05 12:31:49,480.89175,44.7266056308,442.17,449.3475,553.635,3,111.465,520.49225,57.2276552312,329.49,521.7075,612.0,3,282.51
2,2016/01/05 12:31:49,2016/01/05 12:32:08,449.06125,5.5794115465,440.46,448.9875,462.555,3,22.095,480.89175,44.7266056308,442.17,449.3475,553.635,3,111.465
2,2016/01/05 12:32:08,2016/01/05 12:32:26,397.5845,64.9542674853,204.66,439.965,508.635,3,303.975,449.06125,5.5794115465,440.46,448.9875,462.555,3,22.095
2,2016/01/05 12:32:26,2016/01/05 12:32:44,390.25475,6.46116997108,375.84,389.1825,404.82,3,28.98,397.5845,64.9542674853,204.66,439.965,508.635,3,303.975
2,2016/01/05 12:32:44,2016/01/05 12:33:02,391.24775,6.06275487916,380.16,390.51,420.84,3,40.68,390.25475,6.46116997108,375.84,389.1825,404.82,3,28.98
2,2016/01/05 12:33:02,2016/01/05 12:33:21,389.3935,11.2079954489,377.415,384.0075,420.255,3,42.84,391.24775,6.06275487916,380.16,390.51,420.84,3,40.68
2,2016/01/05 12:33:21,2016/01/05 12:33:39,509.65575,44.6800107702,383.175,521.3925,573.48,3,190.305,389.3935,11.2079954489,377.415,384.0075,420.255,3,42.84
